,batch_size,learning_rate,split_count,cnt_min,cnt_max,embedding_dim,category_embedding_dim,hidden_size,checkpoint,epoch_num,accuracy,early_stop_epoch,hidden_size.1,metric_rankme,metric_coherence,metric_pseudo_condition_number,metric_alpha_req,metric_stable_rank,metric_ne_sum,metric_self_clustering,metric_ripser,time_rankme,time_coherence,time_pseudo_condition_number,time_alpha_req,time_stable_rank,time_ne_sum,time_self_clustering,time_ripser
74,64,0.001,3,10,50,16,8,64,checkpoints/model_64_0.001_3_10_50_64epoch=18.ckpt,18,0.7097674418604651,18,64,30.0333,2.3657,0.0032,3.8124,1.3135,7.8507,0.5675,-272.8176,0.0001,0.0,0.0,0.0001,0.0,0.0004,0.0001,0.0847
75,64,0.001,3,10,50,16,8,64,checkpoints/model_64_0.001_3_10_50_64epoch=19.ckpt,19,0.707906976744186,18,64,29.7934,2.3721,0.003,3.8344,1.3062,7.6914,0.5741,-273.0797,0.0001,0.0,0.0,0.0005,0.0,0.0004,0.0001,0.041
76,64,0.001,3,10,50,16,8,64,checkpoints/model_64_0.001_3_10_50_64epoch=20.ckpt,20,0.7106976744186047,18,64,29.643,2.3817,0.0028,3.8316,1.2933,8.2625,0.5876,-272.8882,0.0001,0.0001,0.0,0.0001,0.0,0.0004,0.0001,0.0571
77,64,0.001,3,10,50,16,8,64,checkpoints/model_64_0.001_3_10_50_64epoch=21.ckpt,21,0.7004651162790698,18,64,29.469,2.3919,0.0026,3.8557,1.2839,8.7021,0.5958,-273.2736,0.0001,0.0,0.0,0.0001,0.0,0.0004,0.0001,0.0803
78,64,0.001,3,10,50,16,8,64,checkpoints/model_64_0.001_3_10_50_64epoch=22.ckpt,22,0.7032558139534884,18,64,29.5414,2.3898,0.0026,3.8518,1.2843,8.66,0.5958,-274.1315,0.0001,0.0,0.0,0.0001,0.0,0.0004,0.0001,0.0898
79,64,0.001,3,10,50,16,8,128,checkpoints/model_64_0.001_3_10_50_128epoch=00.ckpt,0,0.6883720930232559,27,128,24.6725,1.3875,0.0004,5.4352,1.4033,3.2123,0.5145,-203.1029,0.0001,0.0001,0.0,0.0002,0.0,0.0012,0.0002,0.0807
80,64,0.001,3,10,50,16,8,128,checkpoints/model_64_0.001_3_10_50_128epoch=01.ckpt,1,0.7069767441860465,27,128,28.2836,1.3853,0.0005,5.4277,1.3898,4.5938,0.5289,-213.7002,0.0001,0.0001,0.0,0.0002,0.0,0.002,0.0002,0.0848
81,64,0.001,3,10,50,16,8,128,checkpoints/model_64_0.001_3_10_50_128epoch=02.ckpt,2,0.7097674418604651,27,128,30.3449,1.3832,0.0005,5.3453,1.351,5.1671,0.5515,-227.0098,0.0001,0.0001,0.0,0.0002,0.0,0.0009,0.0002,0.0798
82,64,0.001,3,10,50,16,8,128,checkpoints/model_64_0.001_3_10_50_128epoch=03.ckpt,3,0.7125581395348837,27,128,30.4704,1.3796,0.0005,5.2804,1.3125,5.7358,0.5787,-238.561,0.0001,0.0001,0.0,0.0002,0.0,0.0011,0.0002,0.0838
83,64,0.001,3,10,50,16,8,128,checkpoints/model_64_0.001_3_10_50_128epoch=04.ckpt,4,0.693953488372093,27,128,32.2081,1.379,0.0006,5.2026,1.3363,5.6379,0.5609,-253.4298,0.0001,0.0001,0.0,0.0002,0.0,0.0012,0.0002,0.0861
84,64,0.001,3,10,50,16,8,128,checkpoints/model_64_0.001_3_10_50_128epoch=05.ckpt,5,0.6986046511627907,27,128,32.7666,1.3769,0.0006,5.1394,1.2998,6.0641,0.5888,-259.226,0.0001,0.0001,0.0,0.0002,0.0,0.0012,0.0002,0.0911
85,64,0.001,3,10,50,16,8,128,checkpoints/model_64_0.001_3_10_50_128epoch=06.ckpt,6,0.7088372093023256,27,128,35.6786,1.3703,0.0007,5.0736,1.3455,7.4967,0.5534,-277.0046,0.0001,0.0001,0.0,0.0002,0.0,0.0011,0.0002,0.082
86,64,0.001,3,10,50,16,8,128,checkpoints/model_64_0.001_3_10_50_128epoch=07.ckpt,7,0.7153488372093023,27,128,36.1354,1.3671,0.0007,4.9939,1.3088,7.5357,0.5782,-287.7974,0.0001,0.0001,0.0,0.0002,0.0,0.0017,0.0002,0.0835
87,64,0.001,3,10,50,16,8,128,checkpoints/model_64_0.001_3_10_50_128epoch=08.ckpt,8,0.7162790697674418,27,128,37.3945,1.3678,0.0007,4.9531,1.2977,7.7117,0.5885,-298.9859,0.0001,0.0001,0.0,0.0001,0.0,0.001,0.0002,0.0741
