batch_size,learning_rate,split_count,cnt_min,cnt_max,embedding_dim,category_embedding_dim,hidden_size,checkpoint,epoch_num,accuracy,early_stop_epoch,hidden_size,metric_rankme,metric_coherence,metric_pseudo_condition_number,metric_alpha_req,metric_stable_rank,metric_ne_sum,metric_self_clustering,metric_ripser_sum_H0,metric_ripser_sum_H1,time_rankme,time_coherence,time_pseudo_condition_number,time_alpha_req,time_stable_rank,time_ne_sum,time_self_clustering,time_ripser_sum_H0,time_ripser_sum_H1
128,0.001,3,10,50,16,8,128,checkpoints/model_128_0.001_3_10_50_128epoch=07.ckpt,7,0.68,29,128,33.979,1.3778,0.0006,5.1945,1.354,6.8668,0.5467,258.9397,10.1335,0.0001,0.0001,0.0,0.0001,0.0,0.001,0.0002,0.0288,0.0288
128,0.001,3,10,50,16,8,128,checkpoints/model_128_0.001_3_10_50_128epoch=08.ckpt,8,0.707906976744186,29,128,35.6952,1.3749,0.0007,5.1371,1.3656,6.3098,0.5365,275.5388,11.0203,0.0001,0.0001,0.0,0.0001,0.0,0.001,0.0002,0.0292,0.0292
128,0.001,3,10,50,16,8,128,checkpoints/model_128_0.001_3_10_50_128epoch=09.ckpt,9,0.6995348837209302,29,128,36.0286,1.3753,0.0007,5.1138,1.3338,7.0558,0.5618,277.8508,11.2422,0.0001,0.0001,0.0,0.0001,0.0,0.001,0.0002,0.0377,0.0377
128,0.001,3,10,50,16,8,128,checkpoints/model_128_0.001_3_10_50_128epoch=10.ckpt,10,0.706046511627907,29,128,35.3432,1.377,0.0007,5.1282,1.2911,7.862,0.5983,276.4398,11.002,0.0001,0.0001,0.0,0.0001,0.0,0.001,0.0002,0.0375,0.0375
128,0.001,3,10,50,16,8,128,checkpoints/model_128_0.001_3_10_50_128epoch=11.ckpt,11,0.7172093023255814,29,128,36.0754,1.3769,0.0007,5.1143,1.2989,7.912,0.5922,280.9733,11.8253,0.0001,0.0001,0.0,0.0001,0.0,0.001,0.0002,0.0313,0.0313
128,0.001,3,10,50,16,8,128,checkpoints/model_128_0.001_3_10_50_128epoch=12.ckpt,12,0.7088372093023256,29,128,35.1743,1.3763,0.0006,5.1099,1.2767,7.6224,0.6092,275.438,11.6623,0.0001,0.0001,0.0,0.0002,0.0,0.001,0.0002,0.0312,0.0312
128,0.001,3,10,50,16,8,128,checkpoints/model_128_0.001_3_10_50_128epoch=13.ckpt,13,0.7209302325581395,29,128,36.971,1.3746,0.0007,5.0733,1.3081,8.169,0.5829,289.5686,12.3624,0.0001,0.0001,0.0,0.0001,0.0,0.001,0.0002,0.0307,0.0307
128,0.001,3,10,50,16,8,128,checkpoints/model_128_0.001_3_10_50_128epoch=14.ckpt,14,0.7218604651162791,29,128,37.1522,1.3747,0.0007,5.0722,1.2969,8.69,0.5927,291.4412,12.5894,0.0001,0.0001,0.0,0.0001,0.0,0.001,0.0002,0.0362,0.0362
128,0.001,3,10,50,16,8,128,checkpoints/model_128_0.001_3_10_50_128epoch=15.ckpt,15,0.6995348837209302,29,128,36.2413,1.3752,0.0007,5.0706,1.2879,7.9414,0.5994,288.1988,12.8793,0.0001,0.0001,0.0,0.0001,0.0,0.001,0.0002,0.0461,0.0461
128,0.001,3,10,50,16,8,128,checkpoints/model_128_0.001_3_10_50_128epoch=16.ckpt,16,0.7013953488372093,29,128,37.5463,1.3754,0.0007,5.037,1.299,7.7686,0.59,300.057,13.1003,0.0001,0.0001,0.0,0.0002,0.0,0.001,0.0002,0.0363,0.0363
